private_uri,label,type,wikidata_uri,confidence
http://moviekg.local/resource/person_15218,James Gunn,Director,http://www.wikidata.org/entity/Q717015,0.5
http://moviekg.local/resource/person_2508883,Brent Dawes,Director,http://www.wikidata.org/entity/Q111677167,0.5
http://moviekg.local/resource/person_1211000,Tom Gormican,Director,http://www.wikidata.org/entity/Q23697472,0.5
http://moviekg.local/resource/person_20659,Marjane Satrapi,Director,http://www.wikidata.org/entity/Q126633,1.0
http://moviekg.local/resource/person_1786499,Michał Gazda,Director,http://www.wikidata.org/entity/Q11778752,0.5
http://moviekg.local/resource/person_64061,Fred Schepisi,Director,http://www.wikidata.org/entity/Q703727,0.5
http://moviekg.local/resource/person_97966,"John ""Bud"" Cardos",Director,http://www.wikidata.org/entity/Q6225102,0.8
http://moviekg.local/resource/person_1283010,Haruo Sotozaki,Director,http://www.wikidata.org/entity/Q28687612,0.5
http://moviekg.local/resource/person_212240,Tom Harper,Director,http://www.wikidata.org/entity/Q16220945,1.0
http://moviekg.local/resource/person_116641,James Neilson,Director,http://www.wikidata.org/entity/Q1647147,0.5
http://moviekg.local/resource/person_2122835,Tyree Dillihay,Director,http://www.wikidata.org/entity/Q134931999,0.5
http://moviekg.local/resource/person_1491592,Daniel Chong,Director,http://www.wikidata.org/entity/Q41065588,0.5
http://moviekg.local/resource/person_1099792,John Patton Ford,Director,http://www.wikidata.org/entity/Q115411888,0.5
http://moviekg.local/resource/person_64992,Hou Hsiao-hsien,Director,http://www.wikidata.org/entity/Q435626,1.0
http://moviekg.local/resource/person_89924,William Clemens,Director,http://www.wikidata.org/entity/Q3568507,1.0
http://moviekg.local/resource/person_1305948,Noel Tan,Director,http://www.wikidata.org/entity/Q114905388,0.5
http://moviekg.local/resource/person_129894,Gareth Edwards,Director,http://www.wikidata.org/entity/Q1381089,0.5
http://moviekg.local/resource/person_53657,Pasquale Festa Campanile,Director,http://www.wikidata.org/entity/Q2055700,1.0
http://moviekg.local/resource/person_1252934,Emerald Fennell,Director,http://www.wikidata.org/entity/Q16207879,0.5
http://moviekg.local/resource/person_41222,Arthur Allan Seidelman,Director,http://www.wikidata.org/entity/Q2864976,0.5
http://moviekg.local/resource/person_1795072,Nia DaCosta,Director,http://www.wikidata.org/entity/Q61995088,0.5
http://moviekg.local/resource/person_11694,Doug Liman,Director,http://www.wikidata.org/entity/Q349339,1.0
http://moviekg.local/resource/person_1265055,Pedro Morelli,Director,http://www.wikidata.org/entity/Q95243036,0.5
http://moviekg.local/resource/person_1138584,Vlasta Janečková,Director,http://www.wikidata.org/entity/Q11914043,0.5
http://moviekg.local/resource/person_1277636,Marco Polo Constandse,Director,http://www.wikidata.org/entity/Q56424354,0.5
http://moviekg.local/resource/person_1318201,Jared Bush,Director,http://www.wikidata.org/entity/Q20995253,0.5
http://moviekg.local/resource/person_10367,John Waters,Director,http://www.wikidata.org/entity/Q506081,1.0
http://moviekg.local/resource/person_2115056,Martín Solá,Director,http://www.wikidata.org/entity/Q49707132,0.5
http://moviekg.local/resource/person_1719706,Aaron Horvath,Director,http://www.wikidata.org/entity/Q47492998,0.5
http://moviekg.local/resource/person_21684,Bong Joon Ho,Director,http://www.wikidata.org/entity/Q495980,0.5
http://moviekg.local/resource/person_2236410,Damon Duncan,Director,NOT_FOUND,0.0
http://moviekg.local/resource/person_11090,Edgar Wright,Director,http://www.wikidata.org/entity/Q522057,1.0
http://moviekg.local/resource/person_19271,Anthony Russo,Director,http://www.wikidata.org/entity/Q18018415,1.0
http://moviekg.local/resource/person_12995,Marc Forster,Director,http://www.wikidata.org/entity/Q28497,1.0
http://moviekg.local/resource/person_1489750,Dani de la Torre,Director,http://www.wikidata.org/entity/Q25509288,0.8
http://moviekg.local/resource/person_11873,Roger Kumble,Director,http://www.wikidata.org/entity/Q1374828,1.0
http://moviekg.local/resource/person_10847,Santiago Segura,Director,http://www.wikidata.org/entity/Q509900,0.5
http://moviekg.local/resource/person_4282811,Cameron Uzoka,Director,NOT_FOUND,0.0
http://moviekg.local/resource/person_129561,Josh Safdie,Director,http://www.wikidata.org/entity/Q3089466,0.8
http://moviekg.local/resource/person_147021,S. S. Rajamouli,Director,http://www.wikidata.org/entity/Q3521531,1.0
http://moviekg.local/resource/person_138781,Robert Eggers,Director,http://www.wikidata.org/entity/Q20826736,0.5
http://moviekg.local/resource/person_231043,Charles Kinnane,Director,NOT_FOUND,0.0
http://moviekg.local/resource/person_117615,Boris Petroff,Director,http://www.wikidata.org/entity/Q113957503,1.0
http://moviekg.local/resource/person_13015,Phillip Noyce,Director,http://www.wikidata.org/entity/Q543563,1.0
http://moviekg.local/resource/person_1188556,Gary Glassman,Director,http://www.wikidata.org/entity/Q23062986,0.5
http://moviekg.local/resource/person_566365,Choo Chang-min,Director,http://www.wikidata.org/entity/Q5104728,1.0
http://moviekg.local/resource/person_67367,Rian Johnson,Director,http://www.wikidata.org/entity/Q621818,0.5
http://moviekg.local/resource/person_8246,Barry Levinson,Director,http://www.wikidata.org/entity/Q269692,1.0
http://moviekg.local/resource/person_19272,Joe Russo,Director,http://www.wikidata.org/entity/Q20675767,1.0
http://moviekg.local/resource/person_165787,Rich Moore,Director,http://www.wikidata.org/entity/Q2499079,1.0
http://moviekg.local/resource/person_1232361,Andy Hamilton,Director,http://www.wikidata.org/entity/Q102236197,0.5
http://moviekg.local/resource/person_229962,Mike Thurmeier,Director,http://www.wikidata.org/entity/Q351866,0.5
http://moviekg.local/resource/person_116805,Paul Feig,Director,http://www.wikidata.org/entity/Q2031292,0.5
